"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Power Quality Forecasting Model for Off-Grid System Supported by Multiobjective Optimization","T. Vantuch; S. Mišák; T. Ježowicz; T. Buriánek; V. Snášel","Centre ENET, VŠB—TU Ostrava, Ostrava, Czech Republic; Department of Computer Science, VŠB—Technical University of Ostrava, Czech Republic; Centre ENET, VŠB—TU Ostrava, Ostrava, Czech Republic; Centre ENET, VŠB—TU Ostrava, Ostrava, Czech Republic; Department of Computer Science, VŠB—Technical University of Ostrava, Czech Republic","IEEE Transactions on Industrial Electronics","25 Oct 2017","2017","64","12","9507","9516","Measurement and control of electric power quality (PQ) parameters in off-grid systems has played an important role in recent years. The purpose is to detect or forecast the presence of PQ parameter disturbances to be able to suppress or to avoid their negative effects on the power grid and appliances. This paper focuses on several PQ parameters in off-grid systems and it defines three evaluation criteria that are supposed to estimate the performance of a new forecasting model combining all the involved PQ parameters. These criteria are based on common statistical evaluations of computational models from the machine learning field of study. The studied PQ parameters are voltage, power frequency, total harmonic distortion, and flicker severity. The approach presented in this paper also applies a machine learning based model of random decision forest for PQ forecasting. The database applied in this task contains real off-grid data from long-term one-minute measurements. The hyperparameters of the model are optimized by multiobjective optimization toward the defined evaluation criteria.","1557-9948","","10.1109/TIE.2017.2711540","TUCENET Sustainable Development of Centre ENET(grant numbers:LO1404); Students Grant Competition(grant numbers:SP2017/157,SP2017/159,CZ.1.05/2.1.00/19.0389); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7938383","Forecasting;off-grid system;power quality","Forecasting;Predictive models;Optimization;Computational modeling;Measurement;Power systems;Inverters","harmonic distortion;learning (artificial intelligence);machine control;optimisation;power grids;power supply quality","power frequency;PQ forecasting;off-grid data;multiobjective optimization;power quality forecasting model;off-grid system;PQ parameter disturbances;power grid;machine learning field;electric power quality parameter control;electric power quality parameter measurement","","23","","35","IEEE","2 Jun 2017","","","IEEE","IEEE Journals"
"A Data-Driven Method for IGBT Open-Circuit Fault Diagnosis Based on Hybrid Ensemble Learning and Sliding-Window Classification","Y. Xia; Y. Xu; B. Gou","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Rolls-Royce @ NTU Corporate Lab, Nanyang Technological University, Singapore","IEEE Transactions on Industrial Informatics","29 Apr 2020","2020","16","8","5223","5233","In this article, a novel data-driven method is proposed for open-circuit fault diagnosis of insulated gate bipolar transistor used in three-phase pulsewidth modulation converter. Based on the sampled three-phase current signals, fast Fourier transform and ReliefF algorithm are used to select most correlated features. Then, based on two randomized learning technologies named extreme learning machine and random vector functional link network, a hybrid ensemble learning scheme is proposed for extracting mapping relationship between fault modes and the selected features. Furthermore, in order to achieve an accurate and fast diagnostic performance, a sliding-window classification framework is designed. Finally, parameters in the diagnostic model are optimized by a multiobjective optimization programming model to achieve optimal balance between diagnosis accuracy and speed. At offline testing stage, the overall average diagnostic accuracy can be as high as 99% with the diagnostic time of around one-cycle sampling time. Furthermore, real-time experiments verify its effectiveness and reliability under different operation conditions.","1941-0050","","10.1109/TII.2019.2949344","Ministry of Education (MOE), Republic of Singapore(grant numbers:AcRF TIER 1 2019-T1-001-069 (RG75/19)); National Research Foundation (NRF) of Singapore(grant numbers:NRF2018-SR2001-018); Nanyang Assistant Professorship from Nanyang Technological University, Singapore; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8882319","Hybrid ensemble learning;insulated gate bipolar transistor (IGBT) open-circuit fault;multiobjective optimization programming (MOP);sliding-window classifier","Feature extraction;Circuit faults;Insulated gate bipolar transistors;Fault diagnosis;Integrated circuit modeling;Adaptation models;Optimization","fast Fourier transforms;fault diagnosis;feature selection;insulated gate bipolar transistors;learning (artificial intelligence);optimisation;pattern classification;PWM power convertors","correlated features selection;mapping relationship extraction;sampled three-phase current signals;one-cycle sampling time;optimal balance;multiobjective optimization programming model;sliding-window classification framework;fast diagnostic performance;fault modes;hybrid ensemble learning scheme;random vector functional link network;extreme learning machine;randomized learning technologies;relief algorithm;three-phase pulsewidth modulation converter;insulated gate bipolar transistor;data-driven method;IGBT open-circuit fault diagnosis","","18","","29","IEEE","24 Oct 2019","","","IEEE","IEEE Journals"
"On Balancing Neighborhood and Global Replacement Strategies in MOEA/D","X. Chen; C. Shi; A. Zhou; B. Wu; P. Sheng","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, Beijing, China; Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, Beijing, China; Shanghai Key Laboratory of Multidimensional Information Processing Department of Computer Science and Technology, East China Normal University, Shanghai, China; Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, Beijing, China; School of Mechanical Engineering, Hebei University of Technology, Tianjin, China","IEEE Access","14 Apr 2019","2019","7","","45274","45290","In recent years, the multiobjective evolutionary algorithm based on decomposition (MOEA/D) has shown superior performance in solving multiobjective optimization problems (MOPs). In MOEA/D, the adaptive replacement strategy (ARS) plays a key role in balancing convergence and diversity. However, existing ARSs do not effectively balance convergence and diversity. To overcome this disadvantage, we propose a mechanism for adapting neighborhood and global replacement. This mechanism determines whether a neighborhood or global replacement strategy should be employed in the search process. Furthermore, we design an offspring generation strategy to generate high-quality solutions. We call this new algorithm framework MOEA/D-ARS. The experimental results suggest that the proposed algorithm performs better than certain state-of-the-art MOEAs.","2169-3536","","10.1109/ACCESS.2019.2909290","National Natural Science Foundation of China(grant numbers:61772082,61375058,61673180); National Key Research and Development Program of China(grant numbers:2017YFB0102500); Natural Science Foundation of Beijing Municipality(grant numbers:4182043); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8681506","Evolutionary algorithm;multiobjective optimization;convergence;adaptive replacement strategy;supervised learning;upper bound","Convergence;Optimization;Sociology;Statistics;Evolutionary computation;Search problems;Telecommunications","evolutionary computation;optimisation;search problems","multiobjective evolutionary algorithm;multiobjective optimization problems;adaptive replacement strategy;convergence;offspring generation strategy;algorithm framework MOEA/D-ARS;global replacement strategies;neighborhood replacement strategies;search process","","","","60","OAPA","4 Apr 2019","","","IEEE","IEEE Journals"
"Two Machine Learning Approaches for Short-Term Wind Speed Time-Series Prediction","R. Ak; O. Fink; E. Zio","Chair on Systems Science and the Energetic Challenge, European Foundation for New Energy-Electricité de France, École Centrale Paris, Châtenay-Malabry, France; Institute of Data Analysis and Process Design, Zurich University of Applied Sciences, Winterthur, Switzerland; Chair on Systems Science and the Energetic Challenge, European Foundation for New Energy-Electricité de France, École Centrale Paris, Châtenay-Malabry, France","IEEE Transactions on Neural Networks and Learning Systems","15 Jul 2016","2016","27","8","1734","1747","The increasing liberalization of European electricity markets, the growing proportion of intermittent renewable energy being fed into the energy grids, and also new challenges in the patterns of energy consumption (such as electric mobility) require flexible and intelligent power grids capable of providing efficient, reliable, economical, and sustainable energy production and distribution. From the supplier side, particularly, the integration of renewable energy sources (e.g., wind and solar) into the grid imposes an engineering and economic challenge because of the limited ability to control and dispatch these energy sources due to their intermittent characteristics. Time-series prediction of wind speed for wind power production is a particularly important and challenging task, wherein prediction intervals (PIs) are preferable results of the prediction, rather than point estimates, because they provide information on the confidence in the prediction. In this paper, two different machine learning approaches to assess PIs of time-series predictions are considered and compared: 1) multilayer perceptron neural networks trained with a multiobjective genetic algorithm and 2) extreme learning machines combined with the nearest neighbors approach. The proposed approaches are applied for short-term wind speed prediction from a real data set of hourly wind speed measurements for the region of Regina in Saskatchewan, Canada. Both approaches demonstrate good prediction precision and provide complementary advantages with respect to different evaluation criteria.","2162-2388","","10.1109/TNNLS.2015.2418739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7091914","Extreme learning machines (ELMs);multilayer perceptron (MLP);multiobjective genetic algorithms (MOGAs);prediction intervals (PIs);short-term wind speed prediction;wind power production","Wind speed;Prediction algorithms;Sociology;Statistics;Artificial neural networks;Training;Neurons","genetic algorithms;learning (artificial intelligence);multilayer perceptrons;power engineering computing;power markets;smart power grids;time series;wind power plants","short-term wind speed time-series prediction;European electricity markets;energy grids;energy consumption;flexible intelligent power grids;sustainable energy production;sustainable energy distribution;wind power production;prediction intervals;machine learning approaches;multilayer perceptron neural network training;multiobjective genetic algorithm;extreme learning machines;nearest neighbors approach;wind speed measurement;Regina;Saskatchewan;Canada","","85","","51","IEEE","22 Apr 2015","","","IEEE","IEEE Journals"
"A Neurobiologically-inspired Deep Learning Framework for Autonomous Context Learning","D. W. Ludwig; L. W. Remedios; J. L. Phillips","Middle Tennessee State University,Department of Computer Science,Murfreesboro,TN,USA; Middle Tennessee State University,Department of Computer Science,Murfreesboro,TN,USA; Middle Tennessee State University,Department of Computer Science,Murfreesboro,TN,USA","2021 IEEE 33rd International Conference on Tools with Artificial Intelligence (ICTAI)","21 Dec 2021","2021","","","97","104","Neurobiologically-inspired working memory models demonstrate human/animal capabilities to rapidly adapt and alter responses to the environment via context-switching and error monitoring. However, the application of these models outside of reinforcement learning problems has been relatively unexplored. We present a new framework compatible with Tensorflow/Keras enabling the integration of working memory-inspired mechanisms into typical neural network architectures. These mechanisms allow models to autonomously learn multiple tasks, statically or dynamically allocated. We also examine the generalization of the framework across a variety of multi-context supervised learning and reinforcement learning tasks. The resulting experiments successfully integrate these mechanisms with multi-layer and convolutional neural network architectures and the diversity of problems solved demonstrates the framework's generalizability across a variety of architectures and tasks.","2375-0197","978-1-6654-0898-1","10.1109/ICTAI52525.2021.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643379","cognitive architectures;machine learning;taskswitching;multiobjective;working memory","Deep learning;Adaptation models;Neural networks;Supervised learning;Stochastic processes;Reinforcement learning;Switches","","","","","","20","","21 Dec 2021","","","IEEE","IEEE Conferences"
"Multicriteria approaches for predictive model generation: A comparative experimental study","B. Al-Jubouri; B. Gabrys","Smart Technology Research Centre, Faculty of Science and Technology, Bournemouth University, UK; Smart Technology Research Centre, Faculty of Science and Technology, Bournemouth University, UK","2014 IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making (MCDM)","15 Jan 2015","2014","","","64","71","This study investigates the evaluation of machine learning models based on multiple criteria. The criteria included are: predictive model accuracy, model complexity, and algorithmic complexity (related to the learning/adaptation algorithm and prediction delivery) captured by monitoring the execution time. Furthermore, it compares the models generated from optimising the criteria using two approaches. The first approach is a scalarized multi objective optimisation, where the models are generated from optimising a single cost function that combines the criteria. On the other hand the second approach uses a Pareto-based multi objective optimisation to trade-off the three criteria and to generate a set of non-dominated models. This study shows that defining universal measures for the three criteria is not always feasible. Furthermore, it was shown that, the models generated from Pareto-based multi objective optimisation approach can be more accurate and more diverse than the models generated from scalarized multi objective optimisation approach.","","978-1-4799-4467-5","10.1109/MCDM.2014.7007189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7007189","","Complexity theory;Predictive models;Accuracy;Prediction algorithms;Optimization;Artificial neural networks;Mathematical model","computational complexity;learning (artificial intelligence);Pareto optimisation;prediction theory","multicriteria approaches;predictive model generation;machine learning models;multiple criteria;predictive model accuracy;model complexity;algorithmic complexity;learning algorithm;adaptation algorithm;prediction delivery;scalarized multiobjective optimisation;Pareto-based multiobjective optimisation;nondominated models","","3","","31","","15 Jan 2015","","","IEEE","IEEE Conferences"
"A Survey of Evolutionary Algorithms for Multi-Objective Optimization Problems With Irregular Pareto Fronts","Y. Hua; Q. Liu; K. Hao; Y. Jin","College of Information Sciences and Technology, Donghua University,Shanghai,China,201620; University of Surrey,Department of Computer Science,Guildford,Surrey,U.K.,GU2 7XH; College of Information Sciences and Technology, Donghua University,Shanghai,China,201620; University of Surrey,Department of Computer Science,Guildford,Surrey,U.K.,GU2 7XH","IEEE/CAA Journal of Automatica Sinica","12 Jan 2021","2021","8","2","303","318","Evolutionary algorithms have been shown to be very successful in solving multi-objective optimization problems (MOPs). However, their performance often deteriorates when solving MOPs with irregular Pareto fronts. To remedy this issue, a large body of research has been performed in recent years and many new algorithms have been proposed. This paper provides a comprehensive survey of the research on MOPs with irregular Pareto fronts. We start with a brief introduction to the basic concepts, followed by a summary of the benchmark test problems with irregular problems, an analysis of the causes of the irregularity, and real-world optimization problems with irregular Pareto fronts. Then, a taxonomy of the existing methodologies for handling irregular problems is given and representative algorithms are reviewed with a discussion of their strengths and weaknesses. Finally, open challenges are pointed out and a few promising future directions are suggested.","2329-9274","","10.1109/JAS.2021.1003817","National Natural Science Foundation of China(grant numbers:61806051,61903078); Natural Science Foundation of Shanghai(grant numbers:20ZR1400400); Fundamental Research Funds for the Central Universities(grant numbers:2232020D-48); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9321268","Evolutionary algorithm;machine learning;multiobjective optimization problems (MOPs);irregular Pareto fronts","Taxonomy;Evolutionary computation;Benchmark testing;Optimization","evolutionary computation;Pareto optimisation","evolutionary algorithms;multiobjective optimization problems;irregular Pareto fronts;MOPs;benchmark test problems;irregular problems;irregularity;real-world optimization problems","","9","","111","","12 Jan 2021","","","IEEE","IEEE Journals"
"A first study on bagging fuzzy rule-based classification systems with multicriteria genetic selection of the component classifiers","O. Cordon; A. Quirin; L. Sanchez","European Centre for Soft Computing, Edificio Científico-Tecnológico, planta 3. Gonzalo Gutiérrez Quirós, s/n, 33600 - Mieres (Asturias), SPAIN; European Centre for Soft Computing, Edificio Científico-Tecnológico, planta 3. Gonzalo Gutiérrez Quirós, s/n, 33600 - Mieres (Asturias), SPAIN; Computer Science Department. University of Oviedo, Campus de Viesques, 33203 - Gijón (Asturias), SPAIN","2008 3rd International Workshop on Genetic and Evolving Systems","11 Apr 2008","2008","","","11","16","Fuzzy rule-based classification systems (FRBCSs) are able to design interpretable classifiers but suffer from the curse of dimensionality when dealing with complex problems with a large number of features. In this contribution we explore the use of popular approaches for designing ensembles of classifiers in the machine learning field, bagging and random subspace, to design FRBCS multiclassifiers from a basic, heuristic fuzzy classification rule generation method, aiming to both improve their accuracy and to make them able to deal with high dimensional classification problems. Besides, a multicriteria genetic algorithm is proposed to select the component classifiers in the ensemble guided by the cumulative likelihood in order to look for an appropriate accuracy-complexity trade-off.","","978-1-4244-1612-7","10.1109/GEFS.2008.4484560","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4484560","","Bagging;Fuzzy systems;Machine learning;Genetic algorithms;Boosting;Proposals;Humans;Design methodology;Evolutionary computation;Scalability","fuzzy set theory;genetic algorithms;knowledge based systems;learning (artificial intelligence);pattern classification","bagging fuzzy rule-based classification system;multicriteria genetic algorithm;component classifier;machine learning;heuristic fuzzy classification rule generation method","","8","","29","","11 Apr 2008","","","IEEE","IEEE Conferences"
"Cooperative coevolution of artificial neural network ensembles for pattern classification","N. Garcia-Pedrajas; C. Hervas-Martinez; D. Ortiz-Boyer","Dept. of Comput. & Numerical Anal., Univ. of Cordoba, Spain; Dept. of Comput. & Numerical Anal., Univ. of Cordoba, Spain; Dept. of Comput. & Numerical Anal., Univ. of Cordoba, Spain","IEEE Transactions on Evolutionary Computation","6 Jun 2005","2005","9","3","271","302","This paper presents a cooperative coevolutive approach for designing neural network ensembles. Cooperative coevolution is a recent paradigm in evolutionary computation that allows the effective modeling of cooperative environments. Although theoretically, a single neural network with a sufficient number of neurons in the hidden layer would suffice to solve any problem, in practice many real-world problems are too hard to construct the appropriate network that solve them. In such problems, neural network ensembles are a successful alternative. Nevertheless, the design of neural network ensembles is a complex task. In this paper, we propose a general framework for designing neural network ensembles by means of cooperative coevolution. The proposed model has two main objectives: first, the improvement of the combination of the trained individual networks; second, the cooperative evolution of such networks, encouraging collaboration among them, instead of a separate training of each network. In order to favor the cooperation of the networks, each network is evaluated throughout the evolutionary process using a multiobjective method. For each network, different objectives are defined, considering not only its performance in the given problem, but also its cooperation with the rest of the networks. In addition, a population of ensembles is evolved, improving the combination of networks and obtaining subsets of networks to form ensembles that perform better than the combination of all the evolved networks. The proposed model is applied to ten real-world classification problems of a very different nature from the UCI machine learning repository and proben1 benchmark set. In all of them the performance of the model is better than the performance of standard ensembles in terms of generalization error. Moreover, the size of the obtained ensembles is also smaller.","1941-0026","","10.1109/TEVC.2005.844158","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1438402","Classification;cooperative coevolution;multiobjective optimization;neural network ensembles","Artificial neural networks;Pattern classification;Neural networks;Evolutionary computation;Neurons;Collaboration;Machine learning;Numerical analysis;Robustness","evolutionary computation;neural nets;pattern classification","cooperative coevolution;artificial neural network;neural network ensemble design;evolutionary computation;evolutionary process;multiobjective method;pattern classification;UCI machine learning repository;proben1 benchmark set","","150","7","100","","6 Jun 2005","","","IEEE","IEEE Journals"
"Plausible Counterfactuals: Auditing Deep Learning Classifiers with Realistic Adversarial Examples","A. Barredo-Arrieta; J. Del Ser","Basque Research and Technology Alliance (BRTA),TECNALIA,Derio,Bizkaia,Spain,48160; Basque Research and Technology Alliance (BRTA),TECNALIA,Derio,Bizkaia,Spain,48160","2020 International Joint Conference on Neural Networks (IJCNN)","28 Sep 2020","2020","","","1","7","The last decade has witnessed the proliferation of Deep Learning models in many applications, achieving unrivaled levels of predictive performance. Unfortunately, the black-box nature of Deep Learning models has posed unanswered questions about what they learn from data. Certain application scenarios have highlighted the importance of assessing the bounds under which Deep Learning models operate, a problem addressed by using assorted approaches aimed at audiences from different domains. However, as the focus of the application is placed more on non-expert users, it results mandatory to provide the means for him/her to trust the model, just like a human gets familiar with a system or process: by understanding the hypothetical circumstances under which it fails. This is indeed the angular stone for this research work: to undertake an adversarial analysis of a Deep Learning model. The proposed framework constructs counterfactual examples by ensuring their plausibility, e.g. there is a reasonable probability that a human could generate them without resorting to a computer program. Therefore, this work must be regarded as valuable auditing exercise of the usable bounds a certain model is constrained within, thereby allowing for a much greater understanding of the capabilities and pitfalls of a model used in a real application. To this end, a Generative Adversarial Network (GAN) and multi-objective heuristics are used to furnish a plausible attack to the audited model, efficiently trading between the confusion of this model, the intensity and plausibility of the generated counterfactual. Its utility is showcased within a human face classification task, unveiling the enormous potential of the proposed framework.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9206728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206728","Explainable Artificial Intelligence;Deep Learning;Counterfactuals;Generative Adversarial Networks;Multiobjective Optimization;Meta-heuristics","Gallium nitride;Machine learning;Faces;Generators;Analytical models;Generative adversarial networks;Task analysis","image classification;learning (artificial intelligence);neural nets","plausible counterfactuals;deep learning classifiers;realistic adversarial examples;adversarial analysis;generative adversarial network;multiobjective heuristics;image classification","","2","","32","","28 Sep 2020","","","IEEE","IEEE Conferences"
"Analysis of Multiobjective Algorithms for the Classification of Multi-Label Video Datasets","G. N. Karagoz; A. Yazici; T. Dokeroglu; A. Cosar","Department of Computer Engineering, Middle East Technical University, Ankara, Turkey; Department of Computer Engineering, Middle East Technical University, Ankara, Turkey; Department of Computer Engineering, TED University, Ankara, Turkey; Department of Computer Engineering, Ankara Science University, Ankara, Turkey","IEEE Access","16 Sep 2020","2020","8","","163937","163952","It is of great importance to extract and validate an optimal subset of non-dominated features for effective multi-label classification. However, deciding on the best subset of features is an NP-Hard problem and plays a key role in improving the prediction accuracy and the processing time of video datasets. In this study, we propose autoencoders for dimensionality reduction of video data sets and ensemble the features extracted by the multi-objective evolutionary Non-dominated Sorting Genetic Algorithm and the autoencoder. We explore the performance of well-known multi-label classification algorithms for video datasets in terms of prediction accuracy and the number of features used. More specifically, we evaluate Non-dominated Sorting Genetic Algorithm-II, autoencoders, ensemble learning algorithms, Principal Component Analysis, Information Gain, and Correlation Based Feature Selection. Some of these algorithms use feature selection techniques to improve the accuracy of the classification. Experiments are carried out with local feature descriptors extracted from two multi-label datasets, the MIR-Flickr dataset which consists of images and the Wireless Multimedia Sensor dataset that we have generated from our video recordings. Significant improvements in the accuracy performance of the algorithms are observed while the number of features is being reduced.","2169-3536","","10.1109/ACCESS.2020.3022317","NU Faculty-development competitive research grants program, Nazarbayev University(grant numbers:110119FD4543); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9187265","Feature selection;multi-label;multi-objective optimization;autoencoder;ensemble;classification","Feature extraction;Prediction algorithms;Optimization;Dimensionality reduction;Machine learning algorithms;Genetic algorithms;Support vector machines","feature extraction;feature selection;genetic algorithms;image classification;neural nets;principal component analysis;video signal processing","autoencoder;well-known multilabel classification algorithms;prediction accuracy;learning algorithms;Principal Component Analysis;feature selection techniques;local feature descriptors;multilabel datasets;MIR-Flickr dataset;Wireless Multimedia Sensor dataset;video recordings;multiobjective algorithms;multilabel video datasets;optimal subset;nondominated features;effective multilabel classification;NP-Hard problem;video data sets;multiobjective evolutionary Nondominated Sorting Genetic Algorithm;Non-dominated Sorting Genetic Algorithm-II;ensemble learning algorithms","","1","","60","CCBY","7 Sep 2020","","","IEEE","IEEE Journals"
"A Novel Deep Learning Approach: Stacked Evolutionary Auto-encoder","Y. Cai; Z. Cai; M. Zeng; X. Liu; J. Wu; G. Wang","School of Computer Science, China University of Geosciences, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; School of Automation, China University of Geosciences, Wuhan, China; Department of Computing, Macquarie University, Sydney, NSW, 2109, Australia; School of Automation, China University of Geosciences, Wuhan, China","2018 International Joint Conference on Neural Networks (IJCNN)","14 Oct 2018","2018","","","1","8","Deep neural networks have been successfully applied to many data mining problems in recent works. The training of deep neural networks relies heavily upon gradient descent methods, however, which may lead to the failure of training due to the vanishing gradient (or exploding gradient) and local optima problems. In this paper, we present SEvoAE method based on using Evolutionary Multiobjective optimization (EMO) algorithm to train single layer auto-encoder, and sequentially learning deeper representation in a stacking way. SEvoAE is able to achieve accurate feature representation with good sparseness by globally simultaneously optimizing two conflicting objective functions and allows users to flexibly design objective functions and evolutionary optimizers. We compare results of the proposed method with existing architectures for seven classification problems, showing that the proposed method is able to outperform existing methods with a reduced risk of overfitting the training data.","2161-4407","978-1-5090-6014-6","10.1109/IJCNN.2018.8489138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489138","Deep learning;Auto-encoder;Evolutionary Multiobjective Optimization","Training;Optimization;Decoding;Neural networks;Linear programming;Feature extraction;Stacking","data mining;evolutionary computation;gradient methods;learning (artificial intelligence);neural nets","stacked Evolutionary auto-encoder;deep neural networks;data mining problems;gradient descent methods;vanishing gradient;local optima problems;SEvoAE method;single layer auto-encoder;conflicting objective functions;evolutionary optimizers;training data;evolutionary multiobjective optimization algorithm;feature representation;classification problems;deep learning approach","","4","","32","","14 Oct 2018","","","IEEE","IEEE Conferences"
"Differential evolution based multiobjective optimization for biomedical entity extraction","U. K. Sikdar; A. Ekbal; S. Saha","Department of CSE, Indian Institute of Technology, Patna, India; Department of CSE, Indian Institute of Technology, Patna, India; Department of CSE, Indian Institute of Technology, Patna, India","2014 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","1 Dec 2014","2014","","","1039","1044","In this paper, we propose multi-objective differential evolution (DE) based feature selection and ensemble learning techniques for biomedical entity extraction. The algorithm operates in two layers, first step of which concerns with the problem of automatic feature selection for a machine learning algorithm, namely Conditional Random Field (CRF). The solutions of the final best population provides different feature combinations. The classifiers generated with these feature representations are combined together using a multi-objective differential based ensemble technique. We evaluate the proposed algorithm for named entity (NE) extraction in biomedical text. Experiments on the benchmark setup yield recall, precision and F-measure values of 73.50%, 77.02% and 75.22%, respectively.","","978-1-4799-3080-7","10.1109/ICACCI.2014.6968390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6968390","","Biological cells;Vectors;Sociology;Statistics;Feature extraction;Optimization;Linear programming","evolutionary computation;feature extraction;feature selection;learning (artificial intelligence);medical computing;pattern classification;random processes;text analysis","differential evolution based multiobjective optimization;multiobjective differential evolution;DE based feature selection;ensemble learning techniques;biomedical entity extraction;automatic feature selection;machine learning algorithm;conditional random field;CRF;feature combinations;classifiers;feature representations;multiobjective differential based ensemble technique;named entity;NE extraction;biomedical text","","1","","16","","1 Dec 2014","","","IEEE","IEEE Conferences"
"Multiobjective Evolutionary Design of Deep Convolutional Neural Networks for Image Classification","Z. Lu; I. Whalen; Y. Dhebar; K. Deb; E. D. Goodman; W. Banzhaf; V. N. Boddeti","Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA","IEEE Transactions on Evolutionary Computation","30 Mar 2021","2021","25","2","277","291","Convolutional neural networks (CNNs) are the backbones of deep learning paradigms for numerous vision tasks. Early advancements in CNN architectures are primarily driven by human expertise and by elaborate design processes. Recently, neural architecture search was proposed with the aim of automating the network design process and generating task-dependent architectures. While existing approaches have achieved competitive performance in image classification, they are not well suited to problems where the computational budget is limited for two reasons: 1) the obtained architectures are either solely optimized for classification performance, or only for one deployment scenario and 2) the search process requires vast computational resources in most approaches. To overcome these limitations, we propose an evolutionary algorithm for searching neural architectures under multiple objectives, such as classification performance and floating point operations (FLOPs). The proposed method addresses the first shortcoming by populating a set of architectures to approximate the entire Pareto frontier through genetic operations that recombine and modify architectural components progressively. Our approach improves computational efficiency by carefully down-scaling the architectures during the search as well as reinforcing the patterns commonly shared among past successful architectures through Bayesian model learning. The integration of these two main contributions allows an efficient design of architectures that are competitive and in most cases outperform both manually and automatically designed architectures on benchmark image classification datasets: CIFAR, ImageNet, and human chest X-ray. The flexibility provided from simultaneously obtaining multiple architecture choices for different compute requirements further differentiates our approach from other methods in the literature.","1941-0026","","10.1109/TEVC.2020.3024708","National Science Foundation(grant numbers:DBI-0939454); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201169","Convolutional neural networks (CNNs);evolutionary deep learning;genetic algorithms (GAs);neural architecture search (NAS)","Computer architecture;Optimization;Search problems;Task analysis;Neural networks;Computational modeling;Graphics processing units","Bayes methods;convolutional neural nets;deep learning (artificial intelligence);evolutionary computation;image classification;neural net architecture","human chest X-ray;ImageNet;CIFAR;Bayesian model learning;FLOP;computational resources;neural architecture;CNN;image classification;floating point operations;evolutionary algorithm;deep convolutional neural networks;multiobjective evolutionary design","","17","","61","IEEE","21 Sep 2020","","","IEEE","IEEE Journals"
