Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Publisher
"Ichiro Tajik A., Takimotq E., Maruokat A.","An on-line prediction algorithm combining several prediction strategies in the shared bet model",1999,"IEICE Transactions on Information and Systems",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033341816&partnerID=40&md5=a5e0ec9bab75eb1e119b3cc1c7cbff6c","One of the most important problems in machine learning is to predict a binary value by observing a sequence of outcomes, up to the present time step, generated from some unknown source. Vovk and Cesa-Bianchi et al. independently proposed an on-line prediction model where prediction algorithms are assumed to be given a collection of prediction strategies called experts and hence be allowed to use the predictions they make. In this model, no assumption is made about the way the sequence of bits to be predicted is generated, and the performance of the algorithm is measured by the difference between the number of mistakes it makes on the bit sequence and the number of mistakes made by the best expert on the same sequence. In this paper we extend the model by introducing a notion of investment. That is, both the prediction algorithm and the experts are required to make bets on their predictions at each time step, and the performance of the algorithm is now measured with respect to the total money lost, rather than the number of mistakes. We analyze our algorithms in the particular situation where all the experts share the same amount of bets at each time step. In this shared bet model, we give a prediction algorithm that is in some sense optimal but impractical, and we also give an efficient prediction algorithm that turns out to be nearly optimal.","Minimax strategy; On-line prediction model; Prediction strategy; Weighted majority algorithm","Institute of Electronics, Information and Communication, Engineers, IEICE"
"Langdon W.B., Nordin J.P.","Seeding genetic programming populations",2000,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",34,"10.1007/978-3-540-46239-2_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958773394&doi=10.1007%2f978-3-540-46239-2_23&partnerID=40&md5=8257734a30076f76cc6e1022a5ca46e3","We show genetic programming (GP) populations can evolve under the influence of a Pareto multi-objective fitness and program size selection scheme, from “perfect.” programs which match the training material to general solutions. The technique is demonstrated with programmatic image compression, two machine learning benchmark problems (Pima Diabetes and Wisconsin Breast Cancer) and an insurance customer profiling task (Benelearn99 data mining). © Springer-Verlag Berlin Heidelberg 2000.",,"Springer Verlag"
"Mariano C., Morales E.","A new distributed reinforcement learning algorithm for multiple objective optimization problems",2000,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",14,"10.1007/3-540-44399-1_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650142747&doi=10.1007%2f3-540-44399-1_30&partnerID=40&md5=8c8481d102044f6821f82176c4854703","This paper describes a new algorithm, called MDQL, for the solution of multiple objective optimization problems. MDQL is based on a new distributed Q-learning algorithm, called DQL, which is also introduced in this paper. In DQL a family of independent agents, exploring different options, finds a common policy in a common environment. Information about action goodness is transmitted using traces over state-action pairs. MDQL extends this idea to multiple objectives, assigning a family of agents for each objective involved. A non-dominant criterion is used to construct Pareto fronts and by delaying adjustments on the rewards MDQL achieves better distributions of solutions. Furthermore, an extension for applying reinforcement learning to continuous functions is also given. Successful results of MDQL on several test-bed problems suggested in the literature are described. © Springer-Verlag 2000.",,"Springer Verlag"
"Beal D.F., Smith M.C.","Temporal difference learning applied to game playing and the results of application to shogi",2001,"Theoretical Computer Science",10,"10.1016/S0304-3975(00)00078-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034916755&doi=10.1016%2fS0304-3975%2800%2900078-5&partnerID=40&md5=8d98d1311652df3835400370245b5cca","This paper describes the application of temporal difference (TD) learning to minimax searches in general, and presents results from shogi. TD learning is used to adjust the weights for evaluation features over the course of a series of games, starting from arbitrary initial values. For some games, to obtain weights accurate enough for high-performance play will require the TD learning phase to make use of minimax searches. A theoretical description of TD applied to minimax search is given, and we discuss how the theoretical characteristics of the method interact with practical considerations. These include the depth of search appropriate for successful learning and the use of self-play to enable the algorithm to be independent of human knowledge. We then report on experiments that obtained values for use in shogi-playing programs. Unlike chess, shogi has no generally agreed standardized set of values for pieces, so there is more need for machine learning. We compare our machine-learnt values, obtained without any human knowledge input, with hand-crafted values. TD learning was successful in obtaining values that performed well in matches against hand-crafted values. © 2001 Elsevier Science B.V. All rights reserved.","Learning; Minimax; Search; Shogi; Temporal difference",
"Kang D.-O., Bien Z.","Model-based multiobjective fuzzy control using a new multiobjective dynamic programming approach",2001,"Annual Conference of the North American Fuzzy Information Processing Society - NAFIPS",1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035791974&partnerID=40&md5=b9158495ca9612b2d51bf9c015d10f17","In this paper, we propose a model-based multi-objective fuzzy control method which is optimized on-line via a new multiobjective dynamic programming. The new multiobjective dynamic programming is guaranteed to derive a Pareto optimal solution. To estimate the effect of each candidate for control input in the dynamic programming procedure, we use state-value predictors of multiple objectives based on the plant model. Temporal difference learning and supervised learning are used for update of the predictors and the plant model. As the learning proceeds, the proposed method derives the compromised solution among multiple objectives. To show the effectiveness of the proposed method, some simulation results are given.",,
"Alaiz-Rodríguez R., Cid-Sueiro J.","Minimax strategies for training classifiers under unknown priors",2002,"Neural Networks for Signal Processing - Proceedings of the IEEE Workshop",,"10.1109/NNSP.2002.1030036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953710219&doi=10.1109%2fNNSP.2002.1030036&partnerID=40&md5=a19310d19a6e73e1be01403b46df5fe1","Most supervised learning algorithms are based on the assumption that the training data set reflects the underlying statistical model of the real data. However, this stationarity assumption is not always satisfied in practice: quite frequently, class prior probabilities are not in accordance with the class proportions in the training data set. The minimax approach is based on selecting the classifier that minimize the error probability under the worst case conditions. We propose a two-step learning algorithm to train a neural network in order to estimate the minimax classifier that is robust to changes in the class priors. During the first step, posterior probabilities based on training data priors are estimated. During the second step, class priors are modified in order to minimize a cost function that is asymptotically equivalent to the worst-case error rate. This procedure is illustrated on a softmax-based neural network. Several experimental results show the advantages of the proposed method with respect to other approaches. © 2002 IEEE.",,"Institute of Electrical and Electronics Engineers Inc."
"Alaiz-Rodríguez R., Cid-Sueiro J.","Neural minimax classifiers",2002,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",,"10.1007/3-540-46084-5_66","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902135022&doi=10.1007%2f3-540-46084-5_66&partnerID=40&md5=32f35692018eb54d6fbf728bc114e265","Many supervised learning algorithms are based on the assumption that the training data set reflects the underlying statistical model of the real data. However, this stationarity assumption may be partially violated in practice: for instance, if the cost of collecting data is class dependent, the class priors of the training data set may be different from that of the test set. A robust solution to this problem is selecting the classifier that minimize the error probability under the worst case conditions. This is known as the minimax strategy. In this paper we propose a mechanism to train a neural network in order to estimate the minimax classifier that is robust to changes in the class priors. This procedure is illustrated on a softmax-based neural network, although it can be applied to other structures. Several experimental results show the advantages of the proposed methods with respect to other approaches. © Springer-Verlag Berlin Heidelberg 2002.",,"Springer Verlag"
"Kilic A., Arslan A.","Minimax fuzzy Q-learning in cooperative multi-agent systems",2002,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",3,"10.1007/3-540-36077-8_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053654030&doi=10.1007%2f3-540-36077-8_27&partnerID=40&md5=76ec884c7bacf686abff1cb2c9b45a9d","Recently, delayed reinforcement learning (RL) has been proposed as a strong method for learning in multi-agent systems (MASs). In this method, agents are concerned with the problem of discovering an optimal policy, a function mapping states to actions. The most popular RL technique, Q-learning, has been proven to produce an optimal policy under certain conditions. In this paper, we consider a multi-agent cooperation problem, and propose a multiagent reinforcement learning method based on the other agents’ actions. In our learning method, the agent under consideration observes other agents’ action, and uses the minimax Q-learning using fuzzy state and fuzzy goal representation for updating fuzzy Q values. © Springer-Verlag Berlin Heidelberg 2002.",,"Springer Verlag"
"Kim Y., Street W.N., Menczer F.","Evolutionary model selection in unsupervised learning",2002,"Intelligent Data Analysis",76,"10.3233/ida-2002-6605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24344503628&doi=10.3233%2fida-2002-6605&partnerID=40&md5=ad3193fc5956bad8b84255f0bddf205b","Feature subset selection is important not only for the insight gained from determining relevant modeling variables but also for the improved understandability, scalability, and possibly, accuracy of the resulting models. Feature selection has traditionally been studied in supervised learning situations, with some estimate of accuracy used to evaluate candidate subsets. However, we often cannot apply supervised learning for lack of a training signal. For these cases, we propose a new feature selection approach based on clustering. A number of heuristic criteria can be used to estimate the quality of clusters built from a given feature subset. Rather than combining such criteria, we use ELSA, an evolutionary local selection algorithm that maintains a diverse population of solutions that approximate the Pareto front in a multi-dimensional objective space. Each evolved solution represents a feature subset and a number of clusters; two representative clustering algorithms, K-means and EM, are applied to form the given number of clusters based on the selected features. Experimental results on both real and synthetic data show that the method can consistently find approximate Pareto-optimal solutions through which we can identify the significant features and an appropriate number of clusters. This results in models with better and clearer semantic relevance. © 2002-IOS Press. All rights reserved.",,"IOS Press"
"Abbass H.A.","Pareto neuro-ensembles",2003,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",28,"10.1007/978-3-540-24581-0_47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-7444246843&doi=10.1007%2f978-3-540-24581-0_47&partnerID=40&md5=13c93889bc712f01360d88f7f7badeac","The formation of a neural network ensemble has attracted much attention in the machine learning literature. A set of trained neural networks are combined using a post-gate to form a single super-network. One main challenge in the literature is to decide on which network to include in, or exclude from the ensemble. Another challenge is how to define an optimum size for the ensemble. Some researchers also claim that for an ensemble to be effective, the networks need to be different. However, there is not a consistent definition of what “different” means. Some take it to mean weakly correlated networks, networks with different bias-variance trade-off, and/or networks which are specialized on different parts of the input space. In this paper, we present a theoretically sound approach for the formation of neural network ensembles. The approach is based on the dominance concept that determines which network to include/exclude, identifies a suitable size for the ensemble, and provides a mechanism for quantifying differences between networks. The approach was tested on a number of standard dataset and showed competitive results. © Springer-Verlag Berlin Heidelberg 2003.",,"Springer Verlag"
"Mellor D.","Model-based reinforcement learning for alternating markov games",2003,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",,"10.1007/978-3-540-24581-0_44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0348216602&doi=10.1007%2f978-3-540-24581-0_44&partnerID=40&md5=d6c95661ec76e9fee4521435f669cb87","Online training is a promising technique for training reinforcement learning agents to play strategy board games over the internet against human opponents. But the limited training experience that can be generated by playing against real humans online means that learning must be data-efficient. Data-efficiency has been achieved in other domains by augmenting reinforcement learning with a model: model-based reinforcement learning. In this paper the Minimax-MBTD algorithm is presented, which extends model-based reinforcement learning to deterministic alternating Markov games, a generalisation of two-player zerosum strategy board games like chess and Go. By using a minimax measure of optimality the strategy learnt generalises to arbitrary opponents, unlike approaches that explicitly model specific opponents. Minimax- MBTD is applied to Tic-Tac-Toe and found to converge faster than direct reinforcement learning, but focussing planning on successors to the current state resulted in slower convergence than unfocussed random planning. © Springer-Verlag Berlin Heidelberg 2003.","Game playing; Machine learning; Planning; Reinforcement learning; Search","Springer Verlag"
"Liu J., Zhou H.-B.","Tumor classification based on gene microarray data and hybrid learning method",2003,"International Conference on Machine Learning and Cybernetics",10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542285298&partnerID=40&md5=e30dc9204e1c0914eec6fea9a0641489","Gene expression microarray data can be used to classify tumor types. We proposed a new procedure to classify human tumor samples based on microarray gene expressions by using a hybrid supervised learning method called MOEA/WV (Multi-Objective Evolutionary Algorithm/ Weighted Voting). MOEA is used to search for a relatively few subsets of informative genes from the high-dimensional gene space, and WV is used as a classification tool. This new method has been applied to predicate the subtypes of lymphoma and outcomes of medulloblastoma. The results are relatively accurate and meaningful compared with those from other methods.","MOEA; Pareto Optimization; Tumor Classification",
"Liu J., Iba H.","Prediction of tumor outcome based on gene expression data",2004,"Wuhan University Journal of Natural Sciences",1,"10.1007/bf02830598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942746634&doi=10.1007%2fbf02830598&partnerID=40&md5=e159d0e46b807f247efd48d22f123789","Gene expression microarray data can be used to classify tumor types. We proposed a new procedure to classify human tumor samples based on microarray gene expressions by using a hybrid supervised learning method called MOEA-WV (Multi-Objective Evolutionary Algorithm + Weighted Voting). MOEA is used to search for a relatively few subsets ill informative genes from the high-dimensional gene space, mid WV is used as a classification toot. This new method has been applied to predicate the subtypes of lymphoma and outlines of medulloblastoma. The results are relatively accurate and meaningful compared to those from other methods.","Bioinformatics; MOEA; Pareto optimization; Tumor classification","Wuhan University"
"Lin Y., Brown L.D.","Statistical properties of the method of regularization with periodic Gaussian reproducing kernel",2004,"Annals of Statistics",14,"10.1214/009053604000000454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24344444131&doi=10.1214%2f009053604000000454&partnerID=40&md5=8e5adebaf735d3a1ea8aeed939b9ba50","The method of regularization with the Gaussian reproducing kernel is popular in the machine learning literature and successful in many practical applications. In this paper we consider the periodic version of the Gaussian kernel regularization. We show in the white noise model setting, that in function spaces of very smooth functions, such as the infinite-order Sobolev space and the space of analytic functions, the method under consideration is asymptotically minimax; in finite-order Sobolev spaces, the method is rate optimal, and the efficiency in terms of constant when compared with the minimax estimator is reasonably high. The smoothing parameters in the periodic Gaussian regularization can be chosen adaptively without loss of asymptotic efficiency. The results derived in this paper give a partial explanation of the success of the Gaussian reproducing kernel in practice. Simulations are carried out to study the finite sample properties of the periodic Gaussian regularization. © Institute of Mathematical Statistics, 2004.","Asymptotic minimax risk; Gaussian reproducing kernel; Nonparametric estimation; Rate of convergence; Sobolev spaces; White noise model",
"Huang K., Yang H., King I., Lyu M.R.","Learning classifiers from imbalanced data based on biased minimax probability machine",2004,"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition",86,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-5044220135&partnerID=40&md5=656398519dd417a0b3483c50b4a9bc60","We consider the problem of the binary classification on imbalanced data, in which nearly all the instances are labelled as one class, while far fewer instances are labelled as the other class, usually the more important class. Traditional machine learning methods seeking an accurate performance over a full range of instances are not suitable to deal with this problem, since they tend to classify all the data into the majority, usually the less important class. Moreover, some current methods have tried to utilize some intermediate factors, e.g., the distribution of the training set, the decision thresholds or the cost matrices, to influence the bias of the classification. However, it remains uncertain whether these methods can improve the performance in a systematic way. In this paper, we propose a novel model named Biased Minimax Probability Machine. Different from previous methods, this model directly controls the worst-case real accuracy of classification of the future data to build up biased classifiers. Hence, it provides a rigorous treatment on imbalanced data. The experimental results on the novel model comparing with those of three competitive methods, i.e., the Naive Bayesian classifier, the k-Nearest Neighbor method, and the decision tree method C4.5, demonstrate the superiority of our novel model.",,
"Hammer P.L., Kogan A., Simeone B., Szedmák S.","Pareto-optimal patterns in logical analysis of data",2004,"Discrete Applied Mathematics",60,"10.1016/j.dam.2003.08.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4544297313&doi=10.1016%2fj.dam.2003.08.013&partnerID=40&md5=54389aa7e98f69fa37e58648dd0f955f","Patterns are the key building blocks in the logical analysis of data (LAD). It has been observed in empirical studies and practical applications that some patterns are more ""suitable"" than others for use in LAD. In this paper, we model various such suitability criteria as partial preorders defined on the set of patterns. We introduce three such preferences, and describe patterns which are Pareto-optimal with respect to any one of them, or to certain combinations of them. We develop polynomial time algorithms for recognizing Pareto-optimal patterns, as well as for transforming an arbitrary pattern to a better Pareto-optimal one with respect to any one of the considered criteria, or their combinations. We obtain analytical representations characterizing some of the sets of Pareto-optimal patterns, and investigate the computational complexity of generating all Pareto-optimal patterns. The empirical evaluation of the relative merits of various types of Pareto-optimality is carried out by comparing the classification accuracy of Pareto-optimal theories on several real life data sets. This evaluation indicates the advantages of ""strong patterns"", i.e. those patterns which are Pareto-optimal with respect to the ""evidential preference"" introduced in this paper. © 2004 Elsevier B.V. All rights reserved.","Boolean functions; Classification accuracy; Extremal patterns, Data mining; Machine learning",
"Yun Y., Nakayama H., Arakawa M., Shiraki W., Ishikawa H.","Multi-objective optimization technique using computational intelligence",2004,"Proceedings - 2004 International Conference on Intelligent Mechatronics and Automation",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-8844221292&partnerID=40&md5=2e2ab30ceaf2bd16aa0292f0f45d011e","In many practical engineering design problems, the form of objective functions is not given explicitly in terms of design variables. Given the value of design variables, under this circumstance, the values of objective functions are obtained by real/computational experiments such as structural analysis, fluid-mechanical analysis, ihermodynamic analysis, and so on. Since those experiments are considerably expensive and also time consuming, thus it is actually almost impossible to find the exact solution to those problems by using conventional optimization methods. Recently, approximation methods using computational intelligence, for example, evolutionary algorithms and neural networks have been developed remarkably. Even those algorithms need a tremendous number of experiments to obtain an approximate solution. Furthermore, most engineering design problems should be formulated as multi-objective optimization problems so as to meet the diversified demands of designer. It also causes that the number of experiments goes on increasing. This paper proposes a new method using computational intelligence methods, which are a machine learning algorithm and an evolutionary algorithm, in order to make the number of experiments for finding the solution of problem with multi-objective functions as few as possible. Furthermore, this paper shows that the proposed method combining a machine learning algorithm and an evolutionary algorithm can generate well approximate Pareto frontier, and a decision making with two or three objective functions can be easily performed on the basis of visualized Pareto frontiers by our method. Finally, the effectiveness of the proposed method will be illustrated through several numerical and practical examples.",,
