Title,Authors,Publisher,Year,Abstract,DOI,Keywords,Citations,Remove - Title
Feature Selection Using Multiobjective Optimization for Named Entity Recognition,A. Ekbal; S. Saha; C. S. Garbe,2010 20th International Conference on Pattern Recognition,2010.0,"Appropriate feature selection is a very crucial issue in any machine learning framework, specially in Maximum Entropy (ME). In this paper, the selection of appropriate features for constructing a ME based Named Entity Recognition (NER) system is posed as a multiobjective optimization (MOO) problem. Two classification quality measures, namely recall and precision are simultaneously optimized using the search capability of a popular evolutionary MOO technique, NSGA-II. The proposed technique is evaluated to determine suitable feature combinations for NER in two languages, namely Bengali and English that have significantly different characteristics. Evaluation results yield the recall, precision and F-measure values of 70.76%, 81.88% and 75.91%, respectively for Bengali, and 78.38%, 81.27% and 79.80%, respectively for English. Comparison with an existing ME based NER system shows that our proposed feature selection technique is more efficient than the heuristic based feature selection.",10.1109/ICPR.2010.477,Multiobjective Optimization;Feature Selection;Maximum Entropy;Named Entity Recognition,17.0,
Neural-Architecture-Search-Based Multiobjective Cognitive Automation System,E. K. Wang; S. P. Xu; C. -M. Chen; N. Kumar,IEEE Systems Journal,2021.0,"Currently, deep-learning-based cognitive automation for decision-making in industrial informatics is a new hot topic in the field of cognitive computing, among which multiobjective architecture optimization is of great difficulty in the research area. When the existing algorithms face multiobjective cognitive model problems, it often takes a lot of time to continuously set different search preference parameters to generate a new search process. This article mainly aims to solve the problem in a multiobjective neural architecture search process, and the key issue is how to adapt user preferences during architectural search. We propose a new algorithm: linear-prefer coevolutionary algorithm. Compared to the original user-constrained method and the Pareto-dominant NSGA-II algorithm, we have faster adaptation time and better quality of adaptation. At the same time, it can respond to user's needs at a relatively faster pace during the reasoning phase. Based on a large number of comparative test results, our algorithm is superior to the traditional cognitive automation algorithms for the multiobjective problem in search quality.",10.1109/JSYST.2020.3002428,Cognitive automation;evolutional algorithm;multiobjective;neural architecture search (NAS);Pareto dominant,1.0,
Collective Personalized Change Classification With Multiobjective Search,X. Xia; D. Lo; X. Wang; X. Yang,IEEE Transactions on Reliability,2016.0,"Many change classification techniques have been proposed to identify defect-prone changes. These techniques consider all developers' historical change data to build a global prediction model. In practice, since developers have their own coding preferences and behavioral patterns, which causes different defect patterns, a separate change classification model for each developer can help to improve performance. Jiang, Tan, and Kim refer to this problem as personalized change classification, and they propose PCC+ to solve this problem. A software project has a number of developers; for a developer, building a prediction model not only based on his/her change data, but also on other relevant developers' change data can further improve the performance of change classification. In this paper, we propose a more accurate technique named collective personalized change classification (CPCC), which leverages a multiobjective genetic algorithm. For a project, CPCC first builds a personalized prediction model for each developer based on his/her historical data. Next, for each developer, CPCC combines these models by assigning different weights to these models with the purpose of maximizing two objective functions (i.e., F1-scores and cost effectiveness). To further improve the prediction accuracy, we propose CPCC+ by combining CPCC with PCC proposed by Jiang, Tan, and Kim To evaluate the benefits of CPCC+ and CPCC, we perform experiments on six large software projects from different communities: Eclipse JDT, Jackrabbit, Linux kernel, Lucene, PostgreSQL, and Xorg. The experiment results show that CPCC+ can discover up to 245 more bugs than PCC+ (468 versus 223 for PostgreSQL) if developers inspect the top 20% lines of code that are predicted buggy. In addition, CPCC+ can achieve F1-scores of 0.60-0.75, which are statistically significantly higher than those of PCC+ on all of the six projects.",10.1109/TR.2016.2588139,Cost effectiveness;developer;machine learning;multiobjective genetic algorithm;personalized change classification (PCC),27.0,
Evolutionary Multiobjective Optimization Driven by Generative Adversarial Networks (GANs),C. He; S. Huang; R. Cheng; K. C. Tan; Y. Jin,IEEE Transactions on Cybernetics,2021.0,"Recently, increasing works have been proposed to drive evolutionary algorithms using machine-learning models. Usually, the performance of such model-based evolutionary algorithms is highly dependent on the training qualities of the adopted models. Since it usually requires a certain amount of data (i.e., the candidate solutions generated by the algorithms) for model training, the performance deteriorates rapidly with the increase of the problem scales due to the curse of dimensionality. To address this issue, we propose a multiobjective evolutionary algorithm driven by the generative adversarial networks (GANs). At each generation of the proposed algorithm, the parent solutions are first classified into real and fake samples to train the GANs; then the offspring solutions are sampled by the trained GANs. Thanks to the powerful generative ability of the GANs, our proposed algorithm is capable of generating promising offspring solutions in high-dimensional decision space with limited training data. The proposed algorithm is tested on ten benchmark problems with up to 200 decision variables. The experimental results on these test problems demonstrate the effectiveness of the proposed algorithm.",10.1109/TCYB.2020.2985081,Deep learning;machine learning;evolutionary algorithm;generative adversarial networks (GANs);machine learning;multiobjective optimization,20.0,
Search ability of evolutionary multiobjective optimization algorithms for multiobjective fuzzy genetics-based machine learning,H. Ishibuchi; Y. Nakashima; Y. Nojima,2009 IEEE International Conference on Fuzzy Systems,2009.0,"Recently evolutionary multiobjective optimization (EMO) algorithms have been actively used for the design of accurate and interpretable fuzzy rule-based systems. This research area is often referred to as multiobjective genetic fuzzy systems where EMO algorithms are used to search for a number of non-dominated fuzzy rule-based systems with respect to their accuracy and interpretability. The main advantage of the use of EMO algorithms for fuzzy system design over single-objective optimizers is that multiple alternative fuzzy rule-based systems with different accuracy-interpretability tradeoffs are obtained by their single run. The decision maker can choose a single fuzzy rule-based system according to their preference. There still exist several important issues to be discussed in this research area such as the definition of interpretability, the formulation of interpretability measures, the visualization of tradeoff relations, and the interpretability of the explanation of fuzzy reasoning results. In this paper, we discuss the ability of EMO algorithms as multiobjective optimizers to search for Pareto optimal or near Pareto optimal fuzzy rule-based systems. More specifically, we examine whether EMO algorithms can find non-dominated fuzzy rule-based systems that approximate the entire Pareto fronts of multiobjective fuzzy system design problems.",10.1109/FUZZY.2009.5277370,,6.0,
Multiobjective evolution for deep learning and its robotic applications,D. Hossain; G. Capi,"2017 8th International Conference on Information, Intelligence, Systems & Applications (IISA)",2017.0,"In numerous industrial applications where robot object recognition and grasping are the primary concern as the most effective and reliable object sorting policy. Deep Learning approaches have produced promising results in object recognition and robot gasping, its performance does not have any influence from handcrafted features. In this paper, we propose a multiobjective deep belief neural network (DBNN) method. It employs a multiobjective evolutionary algorithm integrated with DBNN [10] training technique subject to accuracy and network time as two conflicting objectives. We evaluate the proposed method on the real-time object recognition and robot grasping tasks. Experimental results demonstrate that the proposed method outperforms on the assign tasks.",10.1109/IISA.2017.8316404,deep learning;multiobjective;object recognition;robot grasping;deep belief neural network (DBNN);NSGA-II,4.0,
A Selective Ensemble Classifier Using Multiobjective Optimization Based Extreme Learning Machine Algorithm,L. Bai; H. Li; W. Gao,2021 17th International Conference on Computational Intelligence and Security (CIS),2021.0,"In a single hidden layer feedforward neural network (SLFN), acquiring optimal values for the number of hidden neurons and connection parameters simultaneously is regarded as one of challenges, which has attracted extensive attention. This is because changing the number of hidden neurons and connection parameters greatly affect overall performance of the SLFN and increase the training complexity. In this article, the training error, validation error, and network complexity are treated as three conflicting objectives of multiobjective model for getting a compact network with good generalization ability. For solving the multiobjective model, a hybrid coding scheme is designed for network structure and connection parameters of a SLFN, and then a multiobjective optimization based extreme learning machine (MOELM) is proposed for structure learning and parameter optimization simultaneously. To improve recognition accuracy, a selective ensemble classifier with three base classifiers according to the selection strategy is utilized to make final decision. Experimental results and comparison with other classifiers on several benchmark classification problems indicate the effectiveness and superiority of the proposed MOELM.",10.1109/CIS54983.2021.00017,feedforward neural network;extreme learning machine;multiobjective optimization;ensemble learning;classification,,
SDN-Enabled Adaptive and Reliable Communication in IoT-Fog Environment Using Machine Learning and Multiobjective Optimization,A. Akbar; M. Ibrar; M. A. Jan; A. K. Bashir; L. Wang,IEEE Internet of Things Journal,2021.0,"The Internet-of-Things (IoT) devices, backed by resourceful fog computing, are capable of meeting the requirements of computationally-intensive tasks. However, many existing IoT applications are unable to perform well, due to different Quality-of-Service (QoS) requirements, while communicating with the fog server. Besides, constantly changing traffic demands of applications is another challenge. For example, the demand for real-time applications includes communicating over a path that is less prone to delay, and applications that offload computationally intensive tasks to the fog server need a reliable path that has a lower probability of link failure. This results in a tradeoff between conflicting objectives that are constantly evolving, i.e., minimizing end-to-end delay and maximizing the reliability of paths between IoT devices and the fog server. We propose a novel approach that takes advantage of machine learning (ML) and multiobjective optimization (MOO)-based techniques. The reliability of links is evaluated using an ML-based algorithm in an software-defined network (SDN)-enabled multihop scenario for the IoT-fog environment. By considering the two conflicting objectives, the MOO algorithm is used to find the Pareto-optimal paths. Our experimental evaluation considers two applications with different QoS requirements-a real-time application (App-1) using UDP sockets and a task offloading application (App-2) using TCP sockets. Our results show that: 1) the tradeoff between the two objectives can be optimized and 2) the SDN controller was able to make adaptive decision on-the-fly to choose the best path from the Pareto-optimal set. The App-1 communicating over the selected path finished its execution in 13% less time than communicating over the shortest path. The App-2 had 41% less packet loss using the selected path compared to using the shortest path.",10.1109/JIOT.2020.3038768,Fog computing;Internet of Things (IoT);machine learning (ML);multiobjective optimization (MOO);software-defined networks (SDNs),11.0,
Multiobjective Design of 2-D-Material-Based Field-Effect Transistors With Machine Learning Methods,T. Wu; J. Guo,IEEE Transactions on Electron Devices,2021.0,"Design optimization of emerging nanoscale transistor technologies often requires careful design tradeoff between many objectives, including speed, power, variability, and so on. By leveraging machine learning (ML) methods, we develop a multiobjective optimization (MOO) framework for 2-D-material-based field-effect transistors (FETs) near the scaling limit. The MOO design framework performs gradient-free efficient global optimization and offers the option of using active learning. Optimum designs with a tradeoff between transistor speed, power, and variability are identified automatically for transition metal dichalcogenide (TMDC) and black phosphorene FETs by applying the MOO design framework that couples ML methods to quantum transport device simulations. The design optimization results show that the International Roadmap of Devices and Systems (IRDS) target of 2025 and 2028 technology nodes can be met by 2-D FETs.",10.1109/TED.2021.3085701,2-D field-effect transistors (FETs);active learning;global optimization;machine learning (ML);multiobjective optimization (MOO);nanoscale transistors;transistor simulation,,
Multiobjective fuzzy genetics-based machine learning with a reject option,Y. Nojima; H. Ishibuchi,2016 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),2016.0,"Classifier design for a classification problem with M classes can be viewed as finding an optimal partition of its pattern space into M disjoint subspaces. However, this is not always a good strategy especially when training patterns from different classes are heavily overlapping in the pattern space. A simple but practically useful idea is the use of a reject option. In this case, the pattern space is partitioned into (M+1) disjoint subspace where the classification of new patterns is rejected in the (M+1)th subspace. In this paper, we discuss the design of fuzzy rule-based classifiers with a reject option. The rejection subspace is specified by a threshold value for the difference of a kind of matching degrees between the best matching class and the second best matching class. The important research question is how to specify the threshold value. We examine the following two approaches: One is manual specification after designing a fuzzy rule-based classifier, and the other is simultaneous multiobjective optimization of a threshold value and a fuzzy rule-based classifier. In the latter approach, we use three objectives: maximization of the correct classification, and minimization of the rejection and the complexity of the classifier.",10.1109/FUZZ-IEEE.2016.7737854,Fuzzy genetics-based machine learning;reject option;evolutionary multiobjective optimization,1.0,
Determination of Weights for Multiobjective Decision Making or Machine Learning,P. Wang; H. Zhu; M. Wilamowska-Korsak; Z. Bi; L. Li,IEEE Systems Journal,2014.0,"Decision-making processes in complex systems generally require the mechanisms to make the tradeoff among contradicting design criteria. When multiple objectives are involved in decision making or machine learning, a crucial step is to determine the weights of individual objectives to the system-level performance. Determining the weights of multiobjectives is an evaluation process, and it has been often treated as an optimization problem. However, our preliminary investigation has shown that existing methodologies in dealing with the weights of multiobjectives have some obvious limitations in the sense that the determination of weights is tackled as a single optimization problem, a result based on such an optimization is incomprehensive, and it can even be unreliable when the information about multiple objectives is incomplete such as an incompleteness caused by poor data. The constraints of weights are also discussed. Variable weights are natural in decision-making processes. Therefore, we are motivated to develop a systematic methodology in determining variable weights of multiobjectives. The roles of weights in an original multiobjective decision-making or machine-learning problem are analyzed, and the weights are determined with the aid of a modular neural network. The inconsistency issue of weights is particularly discussed.",10.1109/JSYST.2013.2265663,Consistency;multidisciplinary design optimization (MDO);multifunctional machine learning (MFML);multiobjective decision making (MODM);neural network;tradeoff;variable weights,12.0,
An Entropy Driven Multiobjective Particle Swarm Optimization Algorithm for Feature Selection,J. Luo; D. Zhou; L. Jiang; H. Ma,2021 IEEE Congress on Evolutionary Computation (CEC),2021.0,"Feature selection is an important research field in machine learning since high-dimensionality is a common characteristic of real-world data. It has two main objectives, which are to maximize the classification accuracy while minimizing the number of selected features. As the two objectives are usually in conflict with each other, it makes feature selection a multi-objective problem. However, the large search space and discrete Pareto front makes it not easy for existing evolutionary multi-objective algorithms. In order to deal with the above mentioned difficulties in feature selection, an entropy driven multiobjective particle swarm optimization algorithm is proposed to remove redundant feature and decrease computational complexity. First, its basic idea is to model feature selection as a multiobjective optimization problem by optimizing the number of features and the classification accuracy in supervised condition simultaneously. Second, a particle initialization strategy based on information entropy is designed to improve the quality of initial solutions, and an adaptive velocity update rule is used to swap between local search and global search. Besides, a specified discrete nondominated sorting is designed. These strategies enable the proposed algorithm to gain better performance on both the quality and size of feature subset. The experimental results show that the proposed algorithm can maintain or improve the quality of Pareto fronts evolved by the state-of-the-art algorithms for feature selection.",10.1109/CEC45853.2021.9504837,feature selection;multiobjective optimization;particle swarm optimization,1.0,
Model-based multiobjective fuzzy control using a new multiobjective dynamic programming approach,Dong-Oh Kang; Zeungnam Bien,Proceedings Joint 9th IFSA World Congress and 20th NAFIPS International Conference (Cat. No. 01TH8569),2001.0,"The authors propose a model-based multiobjective fuzzy control method which is optimized online via a novel multiobjective dynamic programming. The new multiobjective dynamic programming is guaranteed to derive a Pareto optimal solution. To estimate the effect of each candidate for control input in the dynamic programming procedure, we use state-value predictors of multiple objectives based on the plant model. Temporal difference learning and supervised learning are used for update of the predictors and the plant model. As the learning proceeds, the proposed method derives the compromised solution among multiple objectives. To show the effectiveness of the proposed method, some simulation results are given.",10.1109/NAFIPS.2001.943752,,1.0,
Effects of the Use of Multiple Fuzzy Partitions on the Search Ability of Multiobjective Fuzzy Genetics-Based Machine Learning,Y. Nojima; Y. Nakashima; H. Ishibuchi,2009 International Conference of Soft Computing and Pattern Recognition,2009.0,"An important issue in the design of fuzzy rule-based systems is to find a good accuracy-complexity tradeoff. While simple fuzzy systems with high interpretability are usually not accurate, complicated fuzzy systems with high accuracy are usually not interpretable. Recently evolutionary multiobjective optimization (EMO) algorithms have been used to search for simple and accurate fuzzy systems. The main advantage of EMO-based approaches over single-objective techniques is that a number of alternative fuzzy systems with different accuracy-complexity tradeoffs can be obtained by their single run. We have already proposed a multiobjective fuzzy genetics-based machine learning (GBML) algorithm for pattern classification problems. In our GBML algorithm, multiple fuzzy partitions with different granularities are simultaneously used. This is because we usually do not know an appropriate fuzzy partition for each input variable. However, the use of multiple fuzzy partitions significantly increases the size of the search space. In this paper, we examine the effect of the use of multiple fuzzy partitions on the search ability of our multiobjective fuzzy GBML algorithms through computational experiments.",10.1109/SoCPaR.2009.74,Fuzzy genetics-based machine learning;Evolutionary multiobjective optimization;Fuzzy rules;Fuzzy partitions;Pattern classification problems,,
Multiobjective model-based optimization of diesel injection rate profile by machine learning methods,E. Immonen; M. Lauren; L. Roininen; S. Särkkä,2020 IEEE International Systems Conference (SysCon),2020.0,"The contribution of this article is to present a model-based machine learning methodology for automatic and simultaneous optimization of the power output and exhaust emissions of diesel internal combustion (IC) engines. We carry out parametric optimization of the rate profile at which fuel is injected into the cylinder for producing minimal nitrogen oxide (NOx) emissions and maximal cylinder power (nIMEP) output, on a computational simulation model of an Agco Power 44 AWI engine calibrated by measurements. Our results display the tradeoffs in reaching these two contradictory optimization objectives on the Pareto frontiers. We show that the so-called boot injection profile, which is commonly used in practice, also emerges through mathematical optimization as a reasonable compromise of the objectives.",10.1109/SysCon47679.2020.9349028,Machine learning;multiobjective optimization;diesel engine;fuel injection;NOx emissions;modeling and simulation,,
Attitudinal Choquet Integral-Based Stochastic Multicriteria Acceptability Analysis,X. Mi; H. Liao; X. -J. Zeng,2020 International Joint Conference on Neural Networks (IJCNN),2020.0,"Preference learning is a subfield of machine learning. In the preference learning-fused decision analysis, the utility values of alternatives are inducted from human decision behavior. The commonly used utility model is the weighted summation. The model assumes the independency between criteria and the same attitude towards each performance value of alternatives, which is often unrealistic in practice. To solve this problem, this study presents an ACI-SMAA (Attitudinal Choquet Integral-based Stochastic Multicriteria Acceptability Analysis) model to consider the criteria interaction and attitudinal parameter of human decision behavior in decision analysis. The ACI-SMAA model is helpful to learn human preferences and analyze latent correlations. An application example about household energy selection is used to show the applicability and validity of the proposed model.",10.1109/IJCNN48605.2020.9207443,Preference learning;Attitudinal Choquet integral;Human decision behavior;Criteria interaction;Stochastic multicriteria acceptability analysis (SMAA),,
