Title,Authors,Publisher,Year,DOI,Keywords,Citations,Optimization,ML task,Objective functions,Single/Multi Solutions,Abstract
pattern classification by evolutionary rbf networks ensemble based on multi-objective optimization,"Kondo N., Hatanaka T., Uosaki K.",IEEE International Conference on Neural Networks - Conference Proceedings,2006.0,10.1109/ijcnn.2006.247224,,8.0,"['Evolutionary', 'NSGA-II']","['RBF Networks', 'Ensemble', 'Classification']","['number of hidden layer neuron', 'MSE', 'sum of absolute weights']",Single - Ensemble,"In this paper, evolutionary multi-objective selection method of RBF networks structure and its application to the ensemble learning is considered. The candidates of RBF network structure are encoded into the chromosomes in GAs. Then, they evolve toward Pareto-optimal front defined by several objective functions concerning with model accuracy, model complexity and model smoothness. RBF network ensemble is constructed of the obtained Pareto-optimal models since such models are diverse. This method is applied to the pattern classification problem. Experiments on the benchmark problem demonstrate that the proposed method has comparable generalization ability to conventional ensemble methods."
pattern classification by evolutionary rbf networks ensemble based on multi-objective optimization,"Kondo N., Hatanaka T., Uosaki K.",IEEE International Conference on Neural Networks - Conference Proceedings,2006.0,10.1109/ijcnn.2006.247224,,8.0,"['Evolutionary', 'NSGA-II']","['RBF Networks', 'Ensemble', 'Classification']","['number of hidden layer neuron', 'MSE', 'sum of absolute weights']",Single - Ensemble,"In this paper, evolutionary multi-objective selection method of RBF networks structure and its application to the ensemble learning is considered. The candidates of RBF network structure are encoded into the chromosomes in GAs. Then, they evolve toward Pareto-optimal front defined by several objective functions concerning with model accuracy, model complexity and model smoothness. RBF network ensemble is constructed of the obtained Pareto-optimal models since such models are diverse. This method is applied to the pattern classification problem. Experiments on the benchmark problem demonstrate that the proposed method has comparable generalization ability to conventional ensemble methods. © 2006 IEEE."
multiobjective evolutionary rbf networks and its application to ensemble learning,"Kondo, N; Hatanaka, T; Uosaki, K",FRONTIERS OF COMPUTATIONAL SCIENCE,2007.0,10.1007/978-3-540-46375-7_50,,,"['Evolutionary', 'Genetic']","['Ensebmle', 'RBF Networks', 'Classification']","['Accuracy', 'Complexity']",Single - Ensemble,"This paper considers a pattern classification by the ensemble of evolutionary RBF networks. Mathematical models generally have a dilemma about model complexity, so the structure determination of RBF network can be considered as the multi-objective optimization problem concerning with accuracy, complexity, and smoothness of the model. The set of RBF network are obtained by multi-objective evolutionary computation, and then RBF network ensemble is constructed of all or some RBF networks at the final generation. Some experiments on the benchmark problem of the pattern classification demonstrate that the RBF network ensemble has comparable generalization ability to conventional ensemble methods."
controlling overfitting with multi-objective support vector machines,Mierswa I.,Proceedings of GECCO 2007: Genetic and Evolutionary Computation Conference,2007.0,10.1145/1276958.1277323,Evolution strategies; Kernel methods; Machine learning; Support vector machines,20.0,"['Evolutive', 'NSGA-II']","['Classification', 'SVM']",['Dual of max margin and min error'],Multi,"Recently, evolutionary computation has been successfully integrated into statistical learning methods. A Support Vector Machine (SVM) using evolution strategies for its optimization problem frequently deliver better results with respect to the optimization criterion and the prediction accuracy. Moreover, evolutionary computation allows for the efficient large margin optimization of a huge family of new kernel functions, namely non-positive semi definite kernels as the Epanechnikov kernel. For these kernel functions, evolutionary SVM even outperform other learning methods like the Relevance Vector Machine. In this paper, we will discuss another major advantage of evolutionary SVM compared to traditional SVM solutions: we can explicitly optimize the inherent trade-off between training error and model complexity by embedding multi-objective optimization into the evolutionary SVM. This leads to three advantages: first, it is no longer necessary to tune the SVM parameter C which weighs both conflicting criteria. This is a very time-consuming task for traditional SVM. Second, the shape and size of the Pareto front give interesting insights about the complexity of the learning task at hand. Finally, the user can actually see the point where overfitting occurs and can easily select a solution from the Pareto front best suiting his or her needs. Copyright 2007 ACM."
a multi-objective learning algorithm for rbf neural network,I. Kokshenev; A. P. Braga,2008 10th Brazilian Symposium on Neural Networks,2008.0,10.1109/SBRN.2008.39,multi-objective learning;radial basis functions;generalization;regularization;LASSO,3.0,['Evolutive'],"['Classification', 'RBF-Networks']","['MSE', 'L1']",Single - AIC in Pareto fronteir,"In this paper, the problem of multi-objective supervised learning is discussed within the non-evolutionary optimization framework. The proposed MOBJ learning algorithm performs the search of Pareto-optimal models determining weights,width, prototype vectors, and the quantity of basis functions of the RBF network. In combination with the Akaike information criterion, the algorithm provides high quality solutions."
multi-objective learning of multi-dimensional bayesian classifiers,J. D. Rodríguez; J. A. Lozano,2008 Eighth International Conference on Hybrid Intelligent Systems,2008.0,10.1109/HIS.2008.143,Machine Learning;multi-dimensional classification;Bayesian classifiers;multi-objective;NSGA-II,16.0,"['Evolutive','NSGA-II']","['Classification','Bayesian classifiers']",['Error for each classification variable'],Multi,"Multi-dimensional classification is a generalization of supervised classification that considers more than one class variable to classify. In this paper we review the existing multi-dimensional Bayesian classifiers and introduce a new one: the KDB multi-dimensional classifier. Then we define different classification rules for multi-dimensional scope. Finally, we introduce a structural learning approach of a multi-dimensional Bayesian classifier based on the multi-objective evolutionary algorithm NSGA-II. The solution of the learning approach is a Pareto front representing different multi-dimensional classifiers and their accuracy values for the different classes, so a decision maker can easily choose the classifier which is more interesting for the particular problem and domain."
semi-supervised training of least squares support vector machine using a multiobjective evolutionary algorithm,C. Silva; J. S. Santos; E. F. Wanner; E. G. Carrano; R. H. C. Takahashi,2009 IEEE Congress on Evolutionary Computation,2009.0,10.1109/CEC.2009.4983321,,1.0,"['Evolutionary', 'SPEA2']","['SVM', 'Classification', 'semi-supervised']","['error over the labeled points', 'norm of the vector of weights']",Multi,"Support Vector Machines (SVMs) are considered state-of-the-art learning machines techniques for classification problems. This paper studies the training of SVMs in the special case of problems in which the raw data to be used for training purposes is composed of both labeled and unlabeled data - the semi-supervised learning problem. This paper proposes the definition of an intermediate problem of attributing labels to the unlabeled data as a multiobjective optimization problem, with the conflicting objectives of minimizing the classification error over the training data set and maximizing the regularity of the resulting classifier. This intermediate problem is solved using an evolutionary multiobjective algorithm, the SPEA2. Simulation results are presented in order to illustrate the suitability of the proposed technique."
design of artificial neural networks using a memetic pareto evolutionary algorithm using as objectives entropy versus variation coefficient,J. C. Fernández; C. Hervás; F. J. Martínez; M. Cruz,2009 Ninth International Conference on Intelligent Systems Design and Applications,2009.0,10.1109/ISDA.2009.153,Classification;Neural Networks;Multi-objective;Entropy;Variation Coefficient,,"['Evolutionary', 'MPENSGA2']","['Neural Network','Classification']","['Cross entropy', 'Variation coefficient']",Single,"This paper proposes a multi-classification pattern algorithm using multilayer perceptron neural network models which try to boost two conflicting main objectives of a classifier, a high correct classification rate and a high classification rate for each class. To solve this machine learning problem, we consider a Memetic Pareto Evolutionary approach based on the NSGA2 algorithm (MPENSGA2), where we defined two objectives for determining the goodness of a classifier: the cross-entropy error function and the variation coefficient of its sensitivities, because both measures are continuous functions, making the convergence more robust. Once the Pareto front is built, we use an automatic selection methodology of individuals: the best model in accuracy (upper extreme in the Pareto front). This methodology is applied to solve six benchmark classification problems, obtaining promising results and achieving a high classification rate in the generalization set with an acceptable level of accuracy for each class."
improving generalization of radial basis function network with adaptive multi-objective particle swarm optimization,S. N. Qasem; S. M. H. Shamsuddin,"2009 IEEE International Conference on Systems, Man and Cybernetics",2009.0,10.1109/ICSMC.2009.5346876,Radial basis function network;Adaptive Multi-objective particle swarm optimization;Multi-Objective particle swarm optimization,3.0,"['Evolutive', 'AMPSO']","['Classification', 'RBF Networks']","['MSE', 'Sum of square weights']",Multi,"In this paper, an adaptive evolutionary multi-objective selection method of RBF Networks structure is discussed. The candidates of RBF Network structures are encoded into particles in Particle Swarm Optimization (PSO). These particles evolve toward Pareto-optimal front defined by several objective functions with model accuracy and complexity. The problem of unsupervised and supervised learning is discussed with Adaptive Multi-Objective PSO (AMOPSO). This study suggests an approach of RBF Network training through simultaneous optimization of architectures and weights with Adaptive PSO-based multi-objective algorithm. Our goal is to determine whether Adaptive Multi-objective PSO can train RBF Networks, and the performance is validated on accuracy and complexity. The experiments are conducted on two benchmark datasets obtained from the machine learning repository. The results show that our proposed method provides an effective means for training RBF Networks that is competitive with PSO-based multi-objective algorithm."
radial basis function network based on multi-objective particle swarm optimization,S. N. Qasem; S. M. H. Shamsuddin,2009 6th International Symposium on Mechatronics and its Applications,2009.0,10.1109/ISMA.2009.5164833,,11.0,"['Evolutive', 'MOPSO']","['Classification', 'RBF Networks']","['MSE', 'Sum of square weights']",Multi,"The problem of unsupervised and supervised learning is discussed within the context of multi-objective optimization. In this paper, an evolutionary multi-objective selection method of RBF networks structure is discussed. The candidates of RBF network structure are encoded into the particles in PSO. Then, they evolve toward Pareto-optimal front defined by several objective functions concerning with model accuracy and model complexity. This study suggests an approach of RBF network training through simultaneous optimization of architectures and weights with PSO-based multi-objective algorithm. Our goal is to determine whether multi-objective PSO can train RBF networks, and the performance is validated on accuracy and complexity. The experiments are conducted on benchmark datasets obtained from the UCI machine learning repository. The results show that our proposed method provides an effective means for training RBF networks that is competitive with other evolutionary computational-based methods."
optimal v-svm parameter estimation using multi objective evolutionary algorithms,J. Ethridge; G. Ditzler; R. Polikar,IEEE Congress on Evolutionary Computation,2010.0,10.1109/CEC.2010.5586029,multi-objective optimization;v-SVM;evolutionary algorithms,3.0,"['Evolutionary', 'NSGA-II']","['v-SVM','Classification']","['Sensitivity', 'Specificity', 'Generalization error']",Multi,"Using a machine learning algorithm for a given application often requires tuning design parameters of the classifier to obtain optimal classification performance without overfitting. In this contribution, we present an evolutionary algorithm based approach for multi-objective optimization of the sensitivity and specificity of a v-SVM. The v-SVM is often preferred over the standard C-SVM due to smaller dynamic range of the v parameter compared to the unlimited dynamic range of the C parameter. Instead of looking for a single optimization result, we look for a set of optimal solutions that lie along the Pareto optimality front. The traditional advantage of using the Pareto optimality is of course the flexibility to choose any of the solutions that lies on the Pareto optimality front. However, we show that simply maximizing sensitivity and specificity over the Pareto front leads to parameters that appear to be mathematically optimal yet still cause overfitting. We propose a multiple objective optimization approach with three objective functions to find additional parameter values that do not cause overfitting."
multiobjective neural network ensembles based on regularized negative correlation learning,H. Chen; X. Yao,IEEE Transactions on Knowledge and Data Engineering,2010.0,10.1109/TKDE.2010.26,Multiobjective algorithm;multiobjective learning;neural network ensembles;neural networks;negative correlation learning;regularization.,83.0,['Evolutionary'],"['Ensemble', 'Negative Correlation Learning', 'RBF', 'Classification']","['MSE', 'Correlation measure', 'weight decay']",Single - Ensemble,"Negative Correlation Learning (NCL) [CHECK END OF SENTENCE], [CHECK END OF SENTENCE] is a neural network ensemble learning algorithm which introduces a correlation penalty term to the cost function of each individual network so that each neural network minimizes its mean-square-error (MSE) together with the correlation. This paper describes NCL in detail and observes that the NCL corresponds to training the entire ensemble as a single learning machine that only minimizes the MSE without regularization. This insight explains that NCL is prone to overfitting the noise in the training set. The paper analyzes this problem and proposes the multiobjective regularized negative correlation learning (MRNCL) algorithm which incorporates an additional regularization term for the ensemble and uses the evolutionary multiobjective algorithm to design ensembles. In MRNCL, we define the crossover and mutation operators and adopt nondominated sorting algorithm with fitness sharing and rank-based fitness assignment. The experiments on synthetic data as well as real-world data sets demonstrate that MRNCL achieves better performance than NCL, especially when the noise level is nontrivial in the data set. In the experimental discussion, we give three reasons why our algorithm outperforms others."
feature selection using multiobjective optimization for named entity recognition,A. Ekbal; S. Saha; C. S. Garbe,2010 20th International Conference on Pattern Recognition,2010.0,10.1109/ICPR.2010.477,Multiobjective Optimization;Feature Selection;Maximum Entropy;Named Entity Recognition,17.0,"['Evolutionary', 'NSGA-II']","['Feature Selection', 'Named  Entity Recognition']","['recall', 'precision']",Single - Performance in training,"Appropriate feature selection is a very crucial issue in any machine learning framework, specially in Maximum Entropy (ME). In this paper, the selection of appropriate features for constructing a ME based Named Entity Recognition (NER) system is posed as a multiobjective optimization (MOO) problem. Two classification quality measures, namely recall and precision are simultaneously optimized using the search capability of a popular evolutionary MOO technique, NSGA-II. The proposed technique is evaluated to determine suitable feature combinations for NER in two languages, namely Bengali and English that have significantly different characteristics. Evaluation results yield the recall, precision and F-measure values of 70.76%, 81.88% and 75.91%, respectively for Bengali, and 78.38%, 81.27% and 79.80%, respectively for English. Comparison with an existing ME based NER system shows that our proposed feature selection technique is more efficient than the heuristic based feature selection."
feature selection for multi-purpose predictive models: a many-objective task,"Reynolds A.P., Corne D.W., Chantler M.J.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2010.0,10.1007/978-3-642-15844-5_39,,7.0,"['Evolutionary', 'NSGA-II']","['Feature Selection', 'Classification', 'Binary Classification']","['Specificity', 'Sensitivity', 'Confidence']",Multi,"The target of machine learning is a predictive model that performs well on unseen data. Often, such a model has multiple intended uses, related to different points in the tradeoff between (e.g.) sensitivity and specificity. Moreover, when feature selection is required, different feature subsets will suit different target performance characteristics. Given a feature selection task with such multiple distinct requirements, one is in fact faced with a very-many-objective optimization task, whose target is a Pareto surface of feature subsets, each specialized for (e.g.) a different sensitivity/specificity tradeoff profile. We argue that this view has many advantages. We motivate, develop and test such an approach. We show that it can be achieved successfully using a dominance-based multiobjective algorithm, despite an arbitrarily large number of objectives. © 2010 Springer-Verlag."
on a multiobjective training algorithm for rbf networks using particle swarm optimization,G. R. L. Silva; D. A. G. Vieira; A. C. Lisboa; V. Palade,2010 22nd IEEE International Conference on Tools with Artificial Intelligence,2010.0,10.1109/ICTAI.2010.112,radial basis network;multiobjective least squares;particle swarm optimization,,"['Evolutionary', 'Particle Swarm']",['RBF'],"['Least Squares', 'Complexity - Gradient']",,"This paper presents a novel algorithm for multiobjective training of Radial Basis Function (RBF) networks based on least-squares and Particle Swarm Optimization methods. The formulation is based on the fundamental concept that supervised learning is a bi-objective optimization problem, in which two conflicting objectives should be minimized. The objectives are related to the empirical training error and the machine complexity. The training is done in three steps: i) a conventional minimization of the training error, ii) multiobjective least-squares optimization for the linear parameters and, iii) particle swarm optimization for the nonlinear parameters. Some results are presented and they show the effectiveness of the proposed approach."
an adaptive multiobjective approach to evolving art architectures,A. Kaylani; M. Georgiopoulos; M. Mollaghasemi; G. C. Anagnostopoulos; C. Sentelle; M. Zhong,IEEE Transactions on Neural Networks,2010.0,10.1109/TNN.2009.2037813,ARTMAP;category proliferation;classification;genetic algorithms (GAs);genetic operators;machine learning,31.0,['Evolutionary'],"['Classification', 'ART']","['Accuracy', 'Complexity - Size']",Multi,"In this paper, we present the evolution of adaptive resonance theory (ART) neural network architectures (classifiers) using a multiobjective optimization approach. In particular, we propose the use of a multiobjective evolutionary approach to simultaneously evolve the weights and the topology of three well-known ART architectures; fuzzy ARTMAP (FAM), ellipsoidal ARTMAP (EAM), and Gaussian ARTMAP (GAM). We refer to the resulting architectures as MO-GFAM, MO-GEAM, and MO-GGAM, and collectively as MO-GART. The major advantage of MO-GART is that it produces a number of solutions for the classification problem at hand that have different levels of merit [accuracy on unseen data (generalization) and size (number of categories created)]. MO-GART is shown to be more elegant (does not require user intervention to define the network parameters), more effective (of better accuracy and smaller size), and more efficient (faster to produce the solution networks) than other ART neural network architectures that have appeared in the literature. Furthermore, MO-GART is shown to be competitive with other popular classifiers, such as classification and regression tree (CART) and support vector machines (SVMs)."
sensitivity versus accuracy in multiclass problems using memetic pareto evolutionary neural networks,J. C. Fernandez Caballero; F. J. Martinez; C. Hervas; P. A. Gutierrez,IEEE Transactions on Neural Networks,2010.0,10.1109/TNN.2010.2041468,Accuracy;local search;multiclassification;multiobjective evolutionary algorithms;neural networks;sensitivity,113.0,"['Evolutionary', 'MPENSGA2']","['Classification', 'Multiclass', 'Multilayer Perceptron']","['Accuracy', 'Sensitivity']",Multi,"This paper proposes a multiclassification algorithm using multilayer perceptron neural network models. It tries to boost two conflicting main objectives of multiclassifiers: a high correct classification rate level and a high classification rate for each class. This last objective is not usually optimized in classification, but is considered here given the need to obtain high precision in each class in real problems. To solve this machine learning problem, we use a Pareto-based multiobjective optimization methodology based on a memetic evolutionary algorithm. We consider a memetic Pareto evolutionary approach based on the NSGA2 evolutionary algorithm (MPENSGA2). Once the Pareto front is built, two strategies or automatic individual selection are used: the best model in accuracy and the best model in sensitivity (extremes in the Pareto front). These methodologies are applied to solve 17 classification benchmark problems obtained from the University of California at Irvine (UCI) repository and one complex real classification problem. The models obtained show high accuracy and a high classification rate for each class."
an efficient multi-objective learning algorithm for rbf neural network,"Kokshenev, I; Braga, AP",NEUROCOMPUTING,2010.0,10.1016/j.neucom.2010.06.022,Multi-objective learning; Radial-basis functions; Pareto-optimality; Model selection; Regularization,,['Deterministic'],['RBF'],"['Squared Error', 'Complexity']",Single - Information Criteria,"Most of modern multi-objective machine learning methods are based on evolutionary optimization algorithms. They are known to be global convergent, however, usually deliver nondeterministic results. In this work we propose the deterministic global solution to a multi-objective problem of supervised learning with the methodology of nonlinear programming. As the result, the proposed multi-objective algorithm performs a global search of Pareto-optimal hypotheses in the space of RBF networks, determining their weights and basis functions. In combination with the Akaike and Bayesian information criteria, the algorithm demonstrates a high generalization efficiency on several synthetic and real-world benchmark problems. (C) 2010 Elsevier B.V. All rights reserved."
generalization improvement of radial basis function network based on multi-objective particle swarm optimization,"Qasem S.N., Shamsuddin S.M.",Journal of Artificial Intelligence,2010.0,10.3923/jai.2010.1.16,Elitist non-dominated sorting genetic algorithm; Hybrid learning; Multi-objective optimization; Multi-objective particle swarm optimization; Radial basis function network,16.0,"['Evolutionary', 'Particle Swarm Optimization']","['RBF Network', 'Classification']","['Mean-Squared Error', 'L2']",Multi,"The problem of unsupervised and supervised learning of RBF networks is discussed with Multi-Objective Particle Swarm Optimization (MOPSO). This study presents an evolutionary multi-objective selection method of RBF networks structure. The candidates of RBF networks structures are encoded into particles in PSO. These particles evolve toward Pareto-optimal front defined by several objective functions with model accuracy and complexity. This study suggests an approach of RBF network training through simultaneous optimization of architectures and connections with PSO-based multi-objective algorithm. Present goal is to determine whether MOPSO can train RBF networks and the performance is validated on accuracy and complexity. The experiments are conducted on two benchmark datasets obtained from the machine learning repository. The results show that; the best results are obtained for our proposed method that has obtained 100 and 80.21 % classification accuracy from the experiments made on the data taken from breast cancer and diabetes diseases database, respectively. The results also show that our approach provides an effective means to solve multi-objective RBF networks and outperforms multi-objective genetic algorithm. © 2010 Asian Network for Scientific Information."
